_id,day,user_id,breakfast,lunch,dinner
64a551f4134bfeedd5f0f2ae,1,64a551f4134bfeedd5f0f28f,2,3,4
64a551f4134bfeedd5f0f2af,2,64a551f4134bfeedd5f0f28f,5,2,0
64a551f4134bfeedd5f0f2b0,3,64a551f4134bfeedd5f0f28f,4,4,2
64a551f4134bfeedd5f0f2b1,4,64a551f4134bfeedd5f0f28f,4,6,2
64a551f4134bfeedd5f0f2b2,5,64a551f4134bfeedd5f0f28f,0,8,2
64a551f4134bfeedd5f0f2b3,6,64a551f4134bfeedd5f0f28f,3,2,3
64a551f4134bfeedd5f0f2b4,7,64a551f4134bfeedd5f0f28f,2,0,2
64a551f4134bfeedd5f0f2b5,8,64a551f4134bfeedd5f0f28f,8,2,2
64a551f4134bfeedd5f0f2b6,9,64a551f4134bfeedd5f0f28f,1,6,1
64a551f4134bfeedd5f0f2b7,10,64a551f4134bfeedd5f0f28f,0,1,3
64a551f4134bfeedd5f0f2b8,11,64a551f4134bfeedd5f0f28f,1,4,8
64a551f4134bfeedd5f0f2b9,12,64a551f4134bfeedd5f0f28f,0,1,9
64a551f4134bfeedd5f0f2ba,13,64a551f4134bfeedd5f0f28f,3,2,5
64a551f4134bfeedd5f0f2bb,14,64a551f4134bfeedd5f0f28f,8,6,4
64a551f4134bfeedd5f0f2bc,15,64a551f4134bfeedd5f0f28f,8,5,1
64a551f4134bfeedd5f0f2bd,16,64a551f4134bfeedd5f0f28f,6,1,0
64a551f4134bfeedd5f0f2be,17,64a551f4134bfeedd5f0f28f,6,3,0
64a551f4134bfeedd5f0f2bf,18,64a551f4134bfeedd5f0f28f,8,7,6
64a551f4134bfeedd5f0f2c0,19,64a551f4134bfeedd5f0f28f,1,4,8
64a551f4134bfeedd5f0f2c1,20,64a551f4134bfeedd5f0f28f,1,4,2
64a551f4134bfeedd5f0f2c2,21,64a551f4134bfeedd5f0f28f,7,8,0
64a551f4134bfeedd5f0f2c3,22,64a551f4134bfeedd5f0f28f,2,3,2
64a551f4134bfeedd5f0f2c4,23,64a551f4134bfeedd5f0f28f,4,4,6
64a551f4134bfeedd5f0f2c5,24,64a551f4134bfeedd5f0f28f,2,3,7
64a551f4134bfeedd5f0f2c6,25,64a551f4134bfeedd5f0f28f,6,7,1
64a551f4134bfeedd5f0f2c7,26,64a551f4134bfeedd5f0f28f,8,2,4
64a551f4134bfeedd5f0f2c8,27,64a551f4134bfeedd5f0f28f,7,7,3
64a551f4134bfeedd5f0f2c9,28,64a551f4134bfeedd5f0f28f,2,0,6
64a551f4134bfeedd5f0f2ca,29,64a551f4134bfeedd5f0f28f,2,3,3
64a551f4134bfeedd5f0f2cb,30,64a551f4134bfeedd5f0f28f,0,0,6
